Churn,Tenure,Techie,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure
0,6.795512947,0,7.978322947,10,0,1
1,1.156680997,1,11.69907956,12,0,1
0,15.75414408,1,10.75280028,9,0,1
0,17.08722662,1,14.91353964,15,2,0
1,1.670971726,0,8.147416533,16,2,1
0,7.000993555,0,8.420992898,15,3,1
1,13.23677381,1,11.18272453,10,0,1
1,4.26425515,1,7.791632265,16,0,0
0,3.422086139,0,8.707823904,18,1,0
0,19.26726194,0,9.341631685,9,0,2
0,10.52199781,0,6.68082638,17,1,1
0,13.01149229,0,8.273875452,9,0,0
0,16.87922024,0,5.880565591,14,1,0
1,10.06019902,0,11.79073041,10,3,0
1,13.87001293,0,10.79846973,13,1,0
1,15.78214958,0,13.52284721,13,1,0
1,2.303331273,0,9.831166695,16,3,0
0,17.10995632,1,9.57470568,11,1,0
1,12.80615845,0,10.92246098,10,1,0
0,2.415991977,0,6.984819996,18,1,0
0,6.652298992,0,9.372975594,16,1,1
0,8.543717478,0,7.109002592,9,0,0
1,5.770390256,0,13.74777955,15,1,0
1,4.157658837,0,9.767668044,12,1,0
1,10.40566091,0,15.8626095,15,0,1
1,1.392421597,0,14.73616645,12,0,0
1,1.430386349,1,13.43558029,13,2,0
1,5.425864884,0,10.61771118,18,1,0
0,11.08287797,0,6.613070806,14,0,0
0,3.586184954,0,4.450171647,13,2,0
1,4.727388465,0,8.774646693,9,0,0
1,20.89923386,0,11.13156721,8,1,1
1,3.471329958,0,5.540788887,15,1,0
1,5.478588204,0,13.80362698,11,0,1
1,3.312991809,0,16.31017089,16,1,1
0,7.161561527,0,9.447065309,9,2,0
0,9.847563364,0,16.84100845,12,1,0
0,16.04202196,0,7.972937227,10,1,1
0,9.179779682,0,11.42906608,12,1,0
0,3.002844144,0,8.06137096,16,2,0
1,3.924254455,0,12.54780492,11,1,2
0,18.55959629,0,8.255565152,13,0,0
1,8.798394712,0,13.156514,6,0,0
1,10.377366,0,10.58349704,5,1,0
1,22.25746016,0,12.50184778,11,1,0
1,9.427146079,1,9.750038902,11,1,0
0,7.760290062,0,7.868660851,11,2,2
0,11.56938439,0,12.43563329,14,0,1
1,3.343811019,0,8.957166926,13,3,0
1,7.338869531,0,8.015021713,12,1,0
0,5.486534225,0,4.210347704,8,0,0
1,1.55278221,1,11.13960534,6,0,0
1,12.07970325,0,9.03738856,11,2,0
0,13.98666226,0,10.91594785,11,1,1
1,9.563362997,0,8.387624096,11,0,1
0,6.732948946,0,11.4487514,11,0,1
1,15.72071086,0,10.22013704,15,2,0
0,7.233605493,0,8.425458142,9,1,0
0,2.871017037,0,8.386280619,12,1,0
0,2.344875382,0,9.565924291,10,3,0
1,7.960490246,0,10.79349982,14,3,0
0,12.25062113,0,6.081975067,15,0,0
0,9.634946079,1,13.55065547,13,0,0
0,7.916533093,0,9.470419821,14,1,0
1,4.471254161,0,6.194985909,11,0,1
1,10.79028074,0,10.80393657,19,1,0
0,12.24190682,0,7.903964267,17,0,1
1,2.203859443,1,11.27443693,18,2,1
1,23.92132231,0,6.129509309,12,0,0
1,3.7311787,1,7.969277912,17,0,0
0,7.980015371,0,4.368120492,9,0,0
1,9.190009376,0,6.258356398,9,0,1
1,2.378630018,0,12.92303286,16,0,0
1,5.43464555,0,12.43301273,13,0,0
1,1.092361222,0,7.607663559,11,0,0
0,20.13981517,0,7.442789019,10,2,1
1,24.64873861,0,13.04429298,18,1,0
0,9.677739656,0,14.89762162,17,0,0
1,9.82814183,0,13.79387475,13,2,1
0,7.832238337,1,15.66367593,6,1,0
0,19.45250317,0,8.513410306,13,3,0
0,14.34766616,0,8.265002035,10,1,0
0,2.257358355,0,8.6026551,11,0,0
0,2.358129018,0,6.03993035,15,1,0
0,4.650578623,1,14.6040829,12,3,0
1,3.721772616,0,7.274007029,13,1,1
0,4.151256695,0,11.59313893,13,0,2
1,2.188918771,0,8.294186076,13,0,0
1,13.85488928,0,15.19664016,9,1,0
0,3.273341151,0,5.083995994,3,1,0
1,19.75096265,0,6.942719201,7,1,1
0,18.38404445,0,9.834012571,7,1,0
1,4.672610857,0,11.0596826,13,0,0
0,6.796299371,0,8.834079073,17,0,1
1,12.97632235,0,5.271228601,14,1,1
0,20.31163945,0,9.394961367,15,1,0
0,6.998814446,0,14.4754365,11,1,1
1,14.46288204,0,10.68311773,12,1,1
0,11.13472066,0,13.79409442,10,1,0
1,2.542296644,0,12.40165307,19,1,0
0,17.22596021,0,10.24782033,9,1,0
1,22.79214163,0,14.86100819,16,0,2
1,3.823689744,0,6.716953195,10,2,1
1,10.77094687,0,8.124258176,18,1,0
1,13.08671185,0,14.60903837,11,0,2
1,14.76468813,0,12.65015936,9,2,2
1,9.473091121,0,12.0281501,14,0,0
0,5.197446331,0,15.68043093,16,1,0
1,6.577552683,0,11.30421466,18,3,1
1,3.174571918,0,10.26646787,10,1,0
0,17.88002366,0,7.56618217,9,0,0
1,13.12190056,1,10.40677369,14,2,0
0,23.34617699,1,7.146124361,13,3,0
0,6.311709178,1,9.807530479,10,1,0
0,12.58298231,0,10.61217014,12,3,0
1,7.120096363,0,5.785085772,16,1,1
1,9.344886869,1,9.062879297,11,2,0
0,22.37815032,1,16.54443477,13,1,0
1,4.799514433,0,4.539566699,8,2,0
0,10.04672315,1,7.251198724,14,2,0
0,8.156552837,0,8.943293567,15,2,1
0,7.992791229,0,12.57884215,9,3,1
0,7.231032028,1,11.64836306,11,0,1
1,4.627672042,0,6.076260652,13,0,0
0,10.05306287,0,11.75681641,9,0,0
0,4.171044392,0,9.173739977,14,0,1
1,6.085030507,0,10.74539526,10,0,1
0,2.730250735,0,11.36323648,12,1,1
1,8.574901206,0,2.310584634,14,1,0
1,9.743201772,0,5.290318715,10,0,0
0,9.482919033,0,5.258274954,8,1,0
0,8.447988841,0,7.157580014,12,0,0
0,6.365998533,0,2.120350511,17,0,0
0,7.251397592,0,4.978546291,12,2,0
1,14.64011644,0,6.547676875,10,3,1
1,11.71637124,1,7.410590719,9,0,1
0,4.13273503,0,11.39765385,8,1,1
1,2.887429547,0,11.29945603,14,1,0
0,3.303030246,0,11.30748265,15,0,2
0,5.15825129,0,10.31551212,11,2,1
1,3.237560234,0,13.71555406,14,1,0
1,2.733109234,0,15.40917963,15,2,0
1,3.180102025,0,11.9664542,17,1,0
0,15.85983755,0,10.18046877,10,2,0
1,11.73724209,0,14.01485542,16,1,1
1,7.006240694,0,14.62784306,17,2,0
1,5.562130367,0,10.90517581,10,2,0
0,14.53027663,0,8.894475174,8,0,1
0,5.905906389,1,10.50187888,13,0,0
1,3.260462654,0,12.34250072,12,2,1
0,18.91276578,0,10.29380879,12,3,0
0,14.25617986,0,8.512650562,11,2,1
1,7.983887266,1,7.82671592,13,1,2
0,5.969967132,1,6.985590245,9,2,1
1,19.95277818,0,11.40449185,12,0,0
0,14.85781115,0,10.44249511,13,1,0
1,2.600063739,0,15.38627887,12,2,0
1,11.92299244,0,10.68024546,13,2,1
0,5.972864167,0,10.62439366,13,0,0
1,10.87555535,1,10.91642397,13,1,0
1,16.00330155,0,8.580626195,14,0,0
0,12.63074989,0,8.996933306,11,0,1
0,8.4944392,0,7.602570192,7,2,0
1,8.044444101,0,9.217689334,12,1,1
0,12.07358377,0,9.591529444,14,0,1
1,10.21634248,0,13.36027908,12,0,0
1,15.50354683,0,4.372034777,7,1,0
0,19.48900163,0,12.81260566,10,1,0
1,10.01771765,0,3.767298987,11,0,0
0,7.34059599,0,17.56798903,14,2,0
1,12.64742067,1,11.2369761,11,3,2
0,8.850426839,0,8.54892416,15,0,1
1,3.701557118,0,6.094109902,11,2,0
0,2.976033785,0,13.9077275,14,1,0
0,5.522376826,0,7.905333122,14,1,0
1,15.64596698,0,12.53830949,9,2,1
1,23.00764441,0,12.8219418,12,1,1
0,17.24924155,0,8.941553742,10,0,0
1,13.01107597,0,10.51043963,12,0,0
1,5.104082209,0,11.86384439,11,3,0
0,3.521499924,0,10.76051016,10,3,0
0,8.08137067,0,11.05420024,14,0,0
0,5.587484456,0,10.05388383,12,2,0
0,7.007695148,0,7.045552801,13,2,0
0,1.408375942,0,8.957297136,14,1,0
1,11.64983735,0,15.74015572,14,2,1
1,2.964559883,1,13.41209586,11,3,0
0,10.25635754,0,14.89835355,9,2,1
1,3.892407013,0,13.62135046,14,1,1
1,3.226996711,0,14.95912113,12,2,1
0,15.87685513,0,11.741245,9,0,0
0,5.874064017,0,7.765121655,11,0,1
0,3.756359276,0,7.130431693,5,1,0
0,2.905283283,0,8.359515606,13,1,0
1,1.474810061,0,9.42799205,17,3,0
1,18.56165869,0,10.95510131,11,0,1
1,12.39088509,0,10.8621377,16,1,0
