Churn,Area,Children,Age,Income,Techie,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary
0,0.5,0.0,0.30985915492957744,0.13946667121617273,0,0.49262548784560894,0.5555555555555556,0.3333333333333333,0.0,0,0,0,0,0,0
0,1.0,0.125,0.7887323943661971,0.10049958589522676,1,0.31725848190319117,0.5,0.6666666666666666,0.0,0,1,0,0,1,0
0,1.0,0.125,0.9014084507042254,0.45520217554791964,0,0.4398598311825187,0.2777777777777778,0.0,1.0,0,0,1,0,1,0
0,0.0,0.625,0.16901408450704225,0.23744734546428936,0,0.5203596511965313,0.6666666666666666,0.6666666666666666,0.0,0,1,0,0,1,0
1,0.5,0.125,0.9577464788732394,0.3515268834975266,0,0.448495995975362,0.2222222222222222,0.0,0.0,1,0,0,0,1,0
1,0.0,0.125,0.04225352112676056,0.20006277671501355,1,0.6074006939880162,0.6666666666666666,0.3333333333333333,0.0,0,0,0,0,0,1
0,1.0,0.0,0.7464788732394366,0.6762968497716176,0,0.20833217088853437,0.6111111111111112,0.3333333333333333,0.5,0,0,0,0,0,0
0,1.0,0.125,0.08450704225352113,0.17479256152526396,0,0.9661556314605341,0.5,0.0,1.0,0,1,0,0,1,0
0,0.5,0.5,0.6056338028169014,0.38950509810155415,0,0.4590762579224613,0.3333333333333333,0.0,0.5,0,0,0,1,0,0
0,0.0,0.25,0.5211267605633803,0.6369575835913116,0,0.43539864100696374,0.16666666666666666,0.3333333333333333,0.0,1,0,0,0,1,0
0,0.5,0.5,0.4225352112676056,0.10349118259639285,0,0.8623546408429601,0.5555555555555556,0.3333333333333333,0.0,0,0,1,0,0,0
1,1.0,0.375,0.38028169014084506,0.3365605718082257,1,0.5350386464421227,0.2777777777777778,0.0,0.0,0,0,1,0,1,0
0,1.0,0.25,0.4225352112676056,0.2836822667019092,0,0.6186392291291084,0.5,0.6666666666666666,0.0,0,0,0,1,0,0
0,0.5,0.125,0.39436619718309857,0.19871547068426862,0,0.5115422014901055,0.3888888888888889,0.6666666666666666,0.0,0,0,1,0,1,0
0,0.0,0.5,0.09859154929577464,0.22176020119597567,0,0.21565069514575474,0.5,0.3333333333333333,0.0,0,1,0,0,1,0
0,0.5,0.125,0.7746478873239436,0.2840454725285974,0,0.3647031265830663,0.2222222222222222,0.6666666666666666,0.0,1,0,0,0,0,0
0,0.5,0.375,0.08450704225352113,0.7113458077662818,0,0.5627950044880723,0.2777777777777778,0.3333333333333333,0.5,1,0,0,0,0,0
0,1.0,0.375,0.014084507042253521,0.12408289922340092,0,0.3545807583063222,0.7222222222222222,0.3333333333333333,0.0,0,0,0,1,0,0
0,1.0,0.25,0.4788732394366197,0.18326871175049278,0,0.2937822288149942,0.2777777777777778,0.0,0.5,0,1,0,0,1,0
0,1.0,0.125,0.4225352112676056,0.27686391012418454,0,0.5933672085749007,0.5555555555555556,0.0,0.0,0,0,0,0,1,0
1,0.5,0.125,0.22535211267605634,0.23202585973738082,0,0.48043890602404693,0.6111111111111112,0.0,0.0,1,0,0,0,0,0
0,0.5,0.5,0.7746478873239436,0.5723446254067974,1,0.4474222923065055,0.8333333333333334,0.0,0.0,0,0,1,0,1,0
0,0.0,0.0,0.352112676056338,0.24070795057716332,1,0.36664750119924766,0.5,0.0,0.0,0,0,0,1,1,0
0,0.5,0.0,0.5915492957746479,0.19143696175576866,0,0.6043194152076243,0.5,0.0,0.5,0,0,0,1,0,0
0,0.5,0.25,0.7464788732394366,0.0447806425201633,0,0.436829436423042,0.4444444444444444,0.3333333333333333,0.0,1,0,0,0,0,0
1,0.0,0.375,0.9295774647887324,0.07798907196787618,0,0.7253859132247288,0.5555555555555556,0.3333333333333333,1.0,0,0,0,0,0,0
0,0.0,0.5,0.16901408450704225,0.4061289608699087,0,0.5176172227219009,0.7777777777777778,0.0,0.5,0,0,0,1,1,0
0,0.5,0.5,0.323943661971831,0.2739424965613901,0,0.7397949746692454,0.5555555555555556,0.3333333333333333,0.0,1,0,0,0,0,0
0,0.0,0.5,0.3380281690140845,0.10462381554836277,0,0.6610384841328262,0.3888888888888889,0.3333333333333333,0.5,0,1,0,0,1,0
0,0.5,0.0,0.9154929577464789,0.1991920368335341,0,0.31650408817246395,0.2777777777777778,0.6666666666666666,0.5,0,0,1,0,0,0
1,0.0,1.0,0.23943661971830985,0.17744520924480112,0,0.8772751962592734,0.8333333333333334,0.0,0.0,0,1,0,0,1,0
0,0.5,0.0,0.3380281690140845,0.8521990002460452,0,0.5253791537258794,0.5,0.0,0.0,1,0,0,0,0,0
0,0.5,0.0,0.5915492957746479,0.5425399164578085,0,0.8182234665809451,0.4444444444444444,0.3333333333333333,0.0,0,1,0,0,1,0
0,1.0,0.25,0.028169014084507043,0.2365126483680035,0,0.5362466477821626,0.3888888888888889,0.0,1.0,0,0,0,1,0,0
1,1.0,0.0,0.30985915492957744,0.8224956849094043,0,0.3979893413506822,0.1111111111111111,0.3333333333333333,0.0,1,0,0,0,0,0
0,1.0,0.375,0.8028169014084507,0.036101058221036944,0,0.5285319462985517,0.7222222222222222,0.3333333333333333,0.5,0,0,1,0,0,0
0,0.5,0.25,0.5633802816901409,0.3631459122809415,0,0.8105086967625226,0.3333333333333333,0.6666666666666666,1.0,0,0,0,0,1,0
0,0.0,0.375,0.8028169014084507,0.399339631650105,0,0.644100441104033,0.4444444444444444,0.0,0.0,0,0,0,0,0,0
1,0.5,0.375,0.4647887323943662,0.3517385648987443,1,0.7273633029862765,0.4444444444444444,0.3333333333333333,0.5,0,0,0,0,0,0
0,0.5,0.0,0.2676056338028169,0.24233962768815367,0,0.38068261845896073,0.8888888888888888,0.0,0.0,0,0,1,0,1,0
0,1.0,0.375,0.6197183098591549,0.310023098176427,0,0.7311313183863452,0.5,0.3333333333333333,0.0,0,0,0,1,1,0
1,0.0,0.25,0.8169014084507042,0.14516355299065473,0,0.7444092161861563,0.4444444444444444,0.3333333333333333,0.5,0,0,1,0,0,0
0,0.5,0.125,0.5352112676056338,0.33976134336995334,0,0.6518849621283956,0.05555555555555555,1.0,0.5,0,0,1,0,0,0
0,0.5,0.125,0.5211267605633803,0.2958032504657516,0,0.06834808329889296,0.3333333333333333,0.3333333333333333,0.0,0,0,0,0,1,0
0,0.0,0.875,0.3380281690140845,0.11686867093430817,0,0.493628767125918,0.3888888888888889,0.3333333333333333,0.0,0,1,0,0,1,0
1,0.5,0.0,0.39436619718309857,0.2011603180977976,0,0.7098622494442008,0.5,0.3333333333333333,0.0,0,0,1,0,0,0
0,0.0,0.25,0.08450704225352113,0.516903342051513,0,0.422144228921845,0.3888888888888889,0.0,0.0,0,0,0,1,0,0
0,0.0,0.125,0.8450704225352113,0.29666679414986347,0,0.35330950010882745,0.3888888888888889,0.6666666666666666,0.0,0,0,0,0,1,0
0,0.0,0.375,0.6901408450704225,0.0541196087241522,0,0.6511790239913923,0.6111111111111112,0.6666666666666666,0.0,0,1,0,0,0,0
0,1.0,0.375,0.9295774647887324,0.5923942824028798,0,0.3192100902392249,0.6111111111111112,0.0,0.0,0,0,0,0,0,0
1,0.0,0.125,0.7323943661971831,0.2300226486162319,1,0.4340444953372504,0.7222222222222222,1.0,0.0,0,0,0,1,1,0
0,0.5,0.375,0.971830985915493,0.5190352761637766,0,0.5504732778695622,0.8333333333333334,0.0,0.0,1,0,0,0,1,0
1,1.0,0.0,0.6338028169014085,0.27312051293847983,0,0.6873738841518243,0.6111111111111112,1.0,0.0,0,1,0,0,0,0
0,0.0,0.0,0.6619718309859155,0.42505851761730185,0,0.4841030638053997,0.5555555555555556,0.3333333333333333,0.0,0,0,0,0,0,0
0,0.5,0.0,0.5633802816901409,0.624621037331042,1,0.2696469642909382,0.7777777777777778,0.3333333333333333,0.5,1,0,0,0,1,0
0,0.5,0.5,0.7464788732394366,0.08953840274982063,0,0.2541473300798433,0.8333333333333334,0.0,0.0,0,0,1,0,0,0
0,0.5,0.0,0.028169014084507043,0.33428188378335305,0,0.76750689870985,0.5,0.3333333333333333,0.5,0,1,0,0,1,0
1,0.5,0.25,0.39436619718309857,0.3412311464682478,0,0.47262394494721677,0.5,0.3333333333333333,0.5,0,0,0,0,1,0
0,1.0,0.5,0.11267605633802817,0.13133933442289691,0,0.3358082771415989,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0,1,0
1,1.0,0.75,0.8873239436619719,0.11846444791461072,0,0.6407766816095887,0.6111111111111112,0.0,0.0,0,0,0,0,1,0
1,1.0,0.125,0.36619718309859156,0.24793333701498338,1,0.6742761903331204,0.6111111111111112,0.3333333333333333,0.0,1,0,0,0,1,0
0,1.0,0.0,0.8309859154929577,0.5429222851920936,1,0.31753080459892147,0.6111111111111112,0.0,0.0,0,0,0,1,1,0
1,0.5,0.125,0.6197183098591549,0.004825495043800989,0,0.4048827990209937,0.4444444444444444,0.0,0.0,1,0,0,0,0,0
1,0.0,0.0,0.2112676056338028,0.44999948656344624,0,0.4581541332903822,0.4444444444444444,0.0,0.0,0,0,1,0,0,0
0,0.5,0.0,0.5915492957746479,0.13661252997034276,1,0.6372534059256109,0.6111111111111112,0.6666666666666666,0.5,0,0,0,0,0,0
0,0.0,0.125,0.352112676056338,0.047061675373391676,0,0.349598510504416,0.6111111111111112,0.3333333333333333,0.0,0,0,0,1,0,1
1,0.5,0.25,0.3380281690140845,0.3409648063094965,0,0.5333138983857962,0.5,0.6666666666666666,0.0,0,0,1,0,1,0
1,0.5,0.125,0.8732394366197183,0.2784309023150167,1,0.8166593945626047,0.2777777777777778,0.6666666666666666,0.5,0,0,0,1,0,0
0,0.0,0.0,0.5070422535211268,0.2310881709635377,0,0.18158056047421875,0.7777777777777778,0.0,0.0,0,0,0,1,0,0
1,1.0,0.5,0.11267605633802817,0.6150159735367522,1,0.4803105947082651,0.3888888888888889,0.6666666666666666,0.0,0,0,0,1,0,0
0,0.5,0.0,0.15492957746478872,0.1520479690430909,0,0.7619706494642156,0.6111111111111112,0.0,0.5,0,0,0,0,0,0
1,0.5,0.0,0.5352112676056338,0.1913044385255946,0,0.7577129953723214,0.6666666666666666,0.6666666666666666,0.0,0,0,1,0,0,0
1,0.0,0.375,0.23943661971830985,0.4255895808118006,0,0.3517703290699564,0.7222222222222222,0.0,0.5,1,0,0,0,0,0
1,0.0,0.0,0.2676056338028169,0.09787289299990304,0,0.5002927926427014,0.6111111111111112,0.0,0.5,0,0,0,0,1,0
1,0.0,0.125,0.056338028169014086,0.23772290322416323,0,0.6085059107353086,0.5555555555555556,0.3333333333333333,0.0,1,0,0,0,0,1
0,0.0,0.125,0.22535211267605634,0.21913738939586144,0,0.4664080749383265,0.5555555555555556,0.6666666666666666,0.0,1,0,0,0,0,0
0,1.0,0.5,0.5633802816901409,0.22304694597022245,0,0.4312828522430817,0.3333333333333333,0.3333333333333333,0.5,0,0,0,1,0,0
0,0.0,0.375,0.323943661971831,0.4013586097205425,0,0.31481113556982815,0.5,0.3333333333333333,0.0,1,0,0,0,1,0
1,0.0,0.25,0.8591549295774648,0.17814049128035148,0,0.5536217619605969,0.6111111111111112,0.6666666666666666,0.5,0,0,1,0,0,0
0,0.5,0.125,0.7323943661971831,0.568480752557298,0,0.5550861600319965,0.6666666666666666,0.3333333333333333,0.0,0,0,1,0,0,0
1,1.0,0.375,0.04225352112676056,0.11464698649532493,1,0.49878691590537355,0.5,0.6666666666666666,0.0,0,0,0,1,1,0
0,0.5,0.5,0.056338028169014086,0.6659747536373746,0,0.4002391379557862,0.6666666666666666,0.3333333333333333,0.5,0,0,0,1,1,0
0,0.5,0.375,0.5492957746478874,0.3551350083439504,0,0.551093373929106,0.6111111111111112,0.6666666666666666,0.0,0,0,1,0,0,0
0,0.5,0.0,0.5774647887323944,0.15843010669049876,1,0.5068375484993619,0.2777777777777778,0.3333333333333333,0.5,0,0,0,1,0,0
0,0.0,0.0,0.04225352112676056,0.3520559252882704,0,0.40592974390710446,0.6111111111111112,0.3333333333333333,0.0,0,1,0,0,0,0
0,1.0,0.125,0.19718309859154928,0.10143881093592368,0,0.48388597370950837,0.5,0.0,0.0,0,0,1,0,0,1
0,0.5,0.25,0.7464788732394366,0.2087531957382664,0,0.43843253721959996,0.3333333333333333,0.6666666666666666,0.5,0,1,0,0,0,0
0,0.0,0.0,0.9577464788732394,0.2762235294146185,1,0.6855830602858745,0.5,0.3333333333333333,1.0,1,0,0,0,1,0
0,0.5,0.125,0.28169014084507044,0.6872978141429212,0,0.3178042003206201,0.2777777777777778,0.3333333333333333,1.0,1,0,0,0,1,0
0,1.0,0.125,0.5915492957746479,0.6558335327111238,0,0.45639448365256235,0.7777777777777778,0.0,0.0,1,0,0,0,1,0
1,0.5,0.125,0.5070422535211268,0.07306177903097623,0,0.6554513615965362,0.7777777777777778,0.0,0.0,1,0,0,0,1,0
0,1.0,0.5,0.28169014084507044,0.33851729064301095,0,0.2260966240682887,0.3888888888888889,0.3333333333333333,0.5,0,0,0,0,0,0
0,1.0,0.375,0.2676056338028169,0.17982626115582412,0,0.49877234534222586,0.5555555555555556,0.3333333333333333,0.0,0,0,0,1,0,0
1,0.0,0.25,0.6197183098591549,0.17496155087917722,0,0.6322141371284267,0.6111111111111112,1.0,0.5,0,0,0,1,1,0
0,0.0,0.25,0.6197183098591549,0.3134605356897834,0,0.3354959701097886,0.2777777777777778,0.3333333333333333,0.5,1,0,0,0,1,0
0,0.5,0.125,0.18309859154929578,0.425845733095627,1,0.5240034214844874,0.5555555555555556,0.3333333333333333,0.0,1,0,0,0,0,0
1,0.0,0.875,0.7746478873239436,0.28555578455814096,0,0.3865900782145571,0.4444444444444444,0.3333333333333333,0.0,1,0,0,0,0,0
0,1.0,0.0,0.014084507042253521,0.11248845070964612,1,0.41231932078133915,0.5555555555555556,0.0,0.5,0,0,0,0,0,0
0,0.0,0.125,0.9154929577464789,0.12599417690177506,1,0.5164707791874077,0.5,0.0,0.0,0,0,0,1,1,0
0,0.5,0.125,0.5633802816901409,0.06298136192967406,0,0.7013830852930271,0.6666666666666666,0.3333333333333333,0.5,0,0,0,1,0,0
0,0.0,0.75,0.5633802816901409,0.11013149393138207,0,0.1823463900639151,0.5,0.3333333333333333,1.0,0,0,0,0,1,0
0,1.0,0.0,0.11267605633802817,0.08022239969248789,1,0.23247248789654942,0.8333333333333334,0.0,0.5,0,1,0,0,0,0
1,0.5,0.125,0.056338028169014086,0.4338859878151399,1,0.5303732424822953,0.6666666666666666,0.3333333333333333,0.0,0,0,1,0,0,0
0,0.5,0.0,0.9859154929577465,0.35843224129286394,0,0.34359895394651613,0.3888888888888889,0.0,0.5,1,0,0,0,0,0
0,0.5,0.25,0.6197183098591549,0.379905128244727,1,0.4307943995273264,0.1111111111111111,0.6666666666666666,0.0,0,0,0,1,1,0
0,1.0,0.125,0.2112676056338028,0.43551588609082587,0,0.3605618567279914,0.5555555555555556,0.0,0.5,1,0,0,0,0,0
0,1.0,0.0,0.4788732394366197,0.2674427940715947,0,0.3069659603407343,0.6111111111111112,0.0,0.5,0,0,1,0,0,0
0,0.5,0.125,0.15492957746478872,0.9009754728528305,0,0.6034796311998453,0.8888888888888888,0.3333333333333333,0.0,1,0,0,0,1,0
0,1.0,0.5,0.7183098591549296,0.1275615733733582,0,0.4619175742113231,0.5,0.0,0.0,0,0,0,1,0,0
1,0.0,0.125,0.7464788732394366,0.5244244194306061,0,0.6481914937955945,0.4444444444444444,0.6666666666666666,0.0,0,1,0,0,0,0
